
Winter 2022
etak_id,address,year,pv_area_m2_r,pv_area_m2_e,Dec_kwh/pv_m2_r,Dec_kwh/pv_m2_e,Jan_kwh/pv_m2_r,Jan_kwh/pv_m2_e,Feb_kwh/pv_m2_r,Feb_kwh/pv_m2_e
713413,Turu 3,2022,165.44,477.837,15.157761121856849,18.285147445677083,20.388237427466144,25.62827909935815,23.800350580270788,32.189240263939375
715116,Turu 9,2022,147.85,482.049,15.416029759891748,13.054191586332507,20.762867771389878,21.0627757759066,24.30990869124113,29.204416978356967
716647,Tähe 2,2022,182.69,461.862,16.707537358366647,16.94750813013411,22.11341616946737,23.90867834981012,25.4781323553561,30.66485227189074
716801,Tiigi 8,2022,257.01,725.94,NaN,13.219536049811278,NaN,21.297063118164036,NaN,29.438603741356037
719155,Tiigi 19,2022,195.82,453.978,17.297160657746897,14.638484684279852,22.454601164334584,22.57243743088872,25.79608824430599,30.376516042627618
719414,Pepleri 10,2022,169.67,732.321,NaN,13.12055778818305,NaN,21.140592718220564,NaN,29.27979670117339
719935,Lutsu 16,2022,187.23,427.428,9.801474122736726,13.32079320961659,14.116274101372634,21.47910291323919,17.701543556054062,29.60552420524626
720043,Aleksandri 3,2022,146.65,468.828,16.056120013637894,13.08134326448079,20.420252301397916,21.13007328913802,23.87494033412884,29.257958142431768
720239,Pepleri 12,2022,171.77,727.407,14.702800256156488,13.07466109069613,20.599639052220958,21.104347359868683,24.210339407347035,29.265225657712943
720448,J.Kuperjanovi 2,2022,193.61,583.533,16.243530809358962,13.429968827812653,20.098600278911253,21.54051270450857,22.55048809462321,29.62553960101657
720467,Pepleri 3,2022,139.91,428.364,12.449932099206599,13.04126864068876,18.63798155957406,21.0659859371936,22.806375527124555,29.23170481179558
720592,Kalevi 8,2022,168.47,555.345,10.360301537365713,13.270795631544352,15.304089748916715,21.30806975843845,17.76624918383096,29.374875077654423
720593,Tiigi 23,2022,162.0,433.629,16.085679012345707,12.947796388156696,20.802222222222216,20.880314739097248,24.239197530864196,29.00859951709872
720853,Tiigi 21,2022,161.09,423.891,13.72301198088025,12.928559464579337,19.052206840896368,20.849841114814897,22.65199577875723,28.969286915740128
721107,Aleksandri 12,2022,260.11,718.956,18.03429318365305,13.080313677053953,22.7099304140556,21.142754215835183,25.302179846987833,29.280095026677568

Summer 2022
etak_id,address,year,pv_area_m2_r,pv_area_m2_e,Jun_kwh/pv_m2_r,Jun_kwh/pv_m2_e,Jul_kwh/pv_m2_r,Jul_kwh/pv_m2_e,Aug_kwh/pv_m2_r,Aug_kwh/pv_m2_e
713413,Turu 3,2022,165.44,477.837,26.832567698259233,31.299836555143283,24.79871856866536,31.18477639864641,16.33069390715667,26.3131779246898
715116,Turu 9,2022,147.85,482.049,27.6784578965168,29.87578026300231,25.81961447412914,29.10542289269348,22.624078457896527,22.728623023800484
716647,Tähe 2,2022,182.69,461.862,28.55219223821773,30.050902650575285,26.172259018008674,29.78448107876379,23.271662378893208,24.82182989724204
716801,Tiigi 8,2022,257.01,725.94,NaN,30.0705016943549,NaN,29.30837259277626,23.871833780786694,22.97328980356503
