etak_id,annual_kwh/pv_m2,y-y_variation/pv_m2,monthly_average_kwh/pv_m2,pv_suitable_area,Jan_kwh/pv_m2,Feb_kwh/pv_m2,Mar_kwh/pv_m2,Apr_kwh/pv_m2,May_kwh/pv_m2,Jun_kwh/pv_m2,Jul_kwh/pv_m2,Aug_kwh/pv_m2,Sep_kwh/pv_m2,Oct_kwh/pv_m2,Nov_kwh/pv_m2,Dec_kwh/pv_m2
723609,157.765,7.765000000000001,13.145,781.8675754686797,2.735,7.0600000000000005,13.735,19.025,23.93,23.195,23.08,19.509999999999998,13.92,7.425,2.535,1.605
723611,164.1,8.74,13.67,171.5889190923827,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723614,150.33,6.67,12.53,45.922800081359085,1.98,5.66,12.27,18.25,23.87,23.66,23.34,19.06,12.81,6.35,1.99,1.09
723616,130.8,5.55,10.9,87.47324610820095,1.42,4.43,10.16,16.15,21.08,21.3,20.84,16.91,10.99,5.24,1.56,0.75
723621,163.62,8.76,13.64,25.04894360670186,3.46,8.38,15.03,19.62,23.78,22.53,22.62,19.78,14.87,8.4,3.05,2.11
723622,147.31,6.4575,12.275,85.94487601687418,1.9,5.455,11.985,17.82,23.5,23.3275,22.9475,18.7,12.535,6.1825,1.92,1.0425
723625,160.51,8.3875,13.3725,67.62974278371247,3.2275,7.8950000000000005,14.495000000000001,19.2025,23.68,22.6,22.599999999999998,19.5275,14.4425,8.0175,2.87,1.9500000000000002
723626,164.1,8.74,13.67,148.85045798649597,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723627,142.42999999999998,6.383333333333333,11.866666666666667,191.57183201047295,1.9566666666666668,5.476666666666667,11.633333333333333,17.353333333333335,22.39,22.246666666666666,21.94333333333333,18.036666666666665,12.200000000000001,6.126666666666666,1.96,1.1033333333333333
723628,158.103,8.047,13.172,668.0138352804508,2.962,7.436,14.023,19.035,23.613999999999997,22.714,22.669999999999998,19.399,14.106,7.68,2.689,1.766
723629,140.74,6.1625,11.7275,98.60997423914172,1.7650000000000001,5.109999999999999,11.375,17.0,22.5325,22.4525,22.0375,17.8975,11.94,5.8675,1.7974999999999999,0.96
723631,157.785,7.765000000000001,13.145,90.03462056808743,2.735,7.0600000000000005,13.735,19.03,23.93,23.2,23.08,19.515,13.925,7.425,2.535,1.605
723632,154.95000000000002,7.3999999999999995,12.913333333333334,58.22000542652609,2.473333333333333,6.576666666666667,13.19,18.80666666666667,23.820000000000004,23.276666666666667,23.11,19.349999999999998,13.523333333333333,7.05,2.35,1.4266666666666667
723633,155.15,7.75,12.93,75.30221058966282,2.85,7.1,13.62,18.47,23.5,22.67,22.5,19.07,13.72,7.4,2.57,1.7
723634,164.1,8.74,13.67,598.8019186791325,3.4,8.3,15.0,19.73,23.91,22.72,22.81,19.89,14.89,8.36,3.02,2.06
723635,134.13,5.14,11.18,46.66039329547056,1.17,3.94,10.04,16.41,22.29,22.74,22.2,17.48,10.95,4.96,1.37,0.58
723636,162.03,8.26,13.5,82.28536553425215,3.0,7.6,14.33,19.65,24.18,23.25,23.26,19.93,14.45,7.84,2.74,1.79
723637,135.0,5.26,11.25,97.55184541068928,1.24,4.09,10.19,16.53,22.31,22.68,22.19,17.55,11.08,5.08,1.43,0.62
723638,152.33,7.2749999999999995,12.693333333333333,88.43804378315099,2.4583333333333335,6.456666666666667,12.973333333333334,18.366666666666667,23.506666666666664,22.92833333333333,22.691666666666666,18.991666666666667,13.293333333333335,6.928333333333334,2.31,1.4283333333333335
723639,154.9925,7.5625,12.915,132.1128729749501,2.6425,6.8475,13.395,18.735,23.5575,22.915,22.78,19.22,13.6375,7.2375,2.465,1.55
723640,148.278,6.9719999999999995,12.356,78.44786635836508,2.2880000000000003,6.142,12.526,17.884,22.96,22.55,22.296,18.534,12.892000000000001,6.676,2.196,1.316
723642,150.29,7.09,12.523333333333333,105.17883555515864,2.36,6.253333333333333,12.696666666666667,18.12666666666667,23.3,22.793333333333333,22.563333333333333,18.793333333333333,13.053333333333333,6.756666666666667,2.2333333333333334,1.3633333333333333
723645,149.65666666666667,6.926666666666667,12.469999999999999,42.23236413613105,2.276666666666667,6.093333333333334,12.56,18.05666666666667,23.28,22.906666666666666,22.64,18.75,12.950000000000001,6.653333333333333,2.183333333333333,1.3066666666666666
723646,155.21,7.72,12.93,36.12289141633776,2.82,7.06,13.59,18.48,23.55,22.74,22.56,19.1,13.71,7.38,2.55,1.68
723648,151.13333333333333,7.546666666666667,12.593333333333334,60.60515552833021,2.6733333333333333,6.863333333333333,13.18,18.296666666666667,22.75333333333333,22.06,21.96666666666667,18.683333333333334,13.39,7.196666666666666,2.48,1.5833333333333333
