etak_id,lat,lon,total_roof_area,district,ehr_code,address_id,address,name,type,year,total_area,floors,energy_label,residential,assembly,business,educational,industrial,institutional,mercantile,storage,other
725554,58.35057734066327,26.72361709372382,239.23,Ropka,104028694.0,EE00761894,"Jalaka tänav 32, Tartu linn",Elamu,üksikelamu,1958.0,157.4,1.0,F,0.519695044472681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
705655,58.37731212524551,26.67016333410874,46.66,Endine Tähtvere vald,nan,ME03027165,"Tasa tee 3, Tartu linn",,,,,,,,,,,,,,,
7598412,58.34983678158172,26.764800321249982,195.9,Ihaste,120854141.0,EE03690981,"Varsa tänav 13, Tartu linn",Eramu,üksikelamu,2019.0,163.2,1.0,,0.8394607843137255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
713826,58.38336830208864,26.742554924390515,108.2,Ülejõe,104023718.0,EE00757273,"Jaama tänav 62e, Tartu linn",Üksikelamu,üksikelamu,1977.0,142.6,2.0,,0.717391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726378,58.37143367716434,26.70270036137799,166.93,Tammelinna,104040325.0,EE00772461,"Väike kaar 68, Tartu linn",Elamu,üksikelamu,1977.0,105.7,1.0,,0.8656575212866603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644785,58.3822365049153,26.708964226024,30.12,Tähtvere,nan,,,,,,,,,,,,,,,,,
5694134,58.34677353340502,26.713844103269423,159.06,Ropka,104034318.0,EE00767077,"Heki tänav 17, Tartu linn",Elamu,üksikelamu,1995.0,229.8,2.0,,0.5600522193211488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724669,58.34210524110679,26.783517419996805,91.05,Ihaste,120815344.0,EE03600077,"Supelranna tänav 4, Tartu linn",Üksikelamu,üksikelamu,1980.0,35.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724930,58.36254999629948,26.70325784685141,313.38,Tammelinna,104038632.0,EE01926281,"Suur kaar 60, Tartu linn",Eramu rekonstrueerimine,üksikelamu,1995.0,320.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721458,58.36872570146935,26.732978665697505,33.54,Karlova,nan,ME03032476,"Salme tänav 6, Tartu linn",,,,,,,,,,,,,,,
